,host_is_superhost,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,instant_bookable,ano,semestre,n_amenities,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Outros,property_type_Private room in rental unit,property_type_Room in hotel,room_type_Entire home/apt,room_type_Outros,room_type_Private room,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_Outros,price
177,0,1,52.48342,13.43774,2,1.0,1.0,2,30,0,2022,1,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,32.0
187,1,1,52.52779,13.39108,5,2.0,3.0,2,302,0,2022,1,44,1,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0
191,0,1,52.50819,13.31214,2,1.0,2.0,1,17,0,2022,1,28,0,0,0,1,0,0,0,1,0,0,0,0,1,0,66.0
193,1,1,52.49512,13.35251,4,1.0,2.0,2,209,1,2022,1,35,1,0,0,0,0,1,0,0,1,0,0,0,0,0,59.0
204,1,1,52.51432,13.17765,2,1.0,1.0,1,54,0,2022,1,23,0,0,1,0,0,0,0,1,0,0,1,0,0,0,40.0
205,0,1,52.51182,13.47093,4,1.0,3.0,2,40,0,2022,1,22,0,0,0,1,0,0,0,1,0,0,0,0,0,1,35.0
207,0,1,52.51182,13.47093,1,1.0,1.0,2,56,0,2022,1,24,0,0,0,1,0,0,0,1,0,0,0,0,0,1,30.0
211,0,1,52.49769,13.44399,4,2.0,2.0,2,223,0,2022,1,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,95.0
214,0,1,52.46387,13.34225,2,2.0,3.0,2,115,0,2022,1,28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,75.0
216,0,1,52.4894,13.42763,2,1.0,2.0,2,15,1,2022,1,18,0,0,0,1,0,0,0,1,0,0,1,0,0,0,29.0
219,0,1,52.50977,13.44602,2,1.0,2.0,1,72,1,2022,1,19,0,0,1,0,0,0,0,1,0,0,0,0,0,1,63.0
220,0,1,52.50977,13.44602,3,1.0,3.0,1,68,1,2022,1,16,0,0,1,0,0,0,1,0,0,0,0,0,0,1,29.0
227,0,1,52.49667,13.40044,4,1.0,1.0,1,2,0,2022,1,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,65.0
235,1,1,52.53091,13.41711,2,1.0,1.0,1,675,0,2022,1,22,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34.0
236,0,1,52.53373,13.42435,2,1.0,1.0,2,57,0,2022,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,64.0
247,0,1,52.46353,13.34404,2,1.0,2.0,2,272,0,2022,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,45.0
248,0,1,52.46411,13.34383,2,1.0,3.0,2,103,0,2022,1,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
249,0,1,52.53392,13.40503,7,1.0,3.0,1,195,0,2022,1,37,0,0,1,0,0,1,0,0,1,0,0,0,0,0,155.0
258,1,1,52.5135,13.45802,2,1.0,1.0,1,288,1,2022,1,24,1,0,0,0,0,1,0,0,1,0,0,0,0,0,69.0
259,1,1,52.53754,13.41968,2,1.0,2.0,2,191,1,2022,1,35,0,0,0,1,0,0,0,1,0,0,1,0,0,0,75.0
267,0,1,52.53672,13.42018,2,1.0,1.0,2,19,0,2022,1,19,0,0,0,1,0,0,0,1,0,0,1,0,0,0,56.0
272,1,0,52.51586,13.46388,1,1.0,1.0,1,50,0,2022,1,34,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
279,0,1,52.50346,13.38851,2,1.0,1.0,1,57,0,2022,1,44,0,0,0,1,0,0,0,1,0,0,1,0,0,0,50.0
285,1,1,52.52971,13.38907,4,1.0,2.0,2,266,1,2022,1,28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,70.0
292,1,1,52.54116,13.41449,2,1.0,2.0,2,217,0,2022,1,23,1,0,0,0,0,1,0,0,1,0,0,0,0,0,55.0
293,0,1,52.49675,13.30447,2,1.0,1.0,1,0,0,2022,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,28.0
294,0,1,52.48845,13.39543,2,2.0,1.0,2,2,0,2022,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,110.0
295,1,1,52.49257,13.41091,4,1.0,2.0,2,369,0,2022,1,33,0,0,1,0,0,1,0,0,1,0,0,0,0,0,83.0
303,1,1,52.54297,13.42026,6,2.0,3.0,1,134,0,2022,1,41,0,0,1,0,0,1,0,0,1,0,0,0,0,0,202.0
310,0,1,52.5151,13.41369,2,1.0,2.0,1,292,0,2022,1,37,1,0,0,0,0,1,0,0,1,0,0,0,0,0,125.0
316,0,1,52.5133,13.41781,2,1.0,2.0,1,51,0,2022,1,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,53.0
324,1,0,52.53097,13.41577,2,1.0,1.0,1,662,0,2022,1,25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,32.0
335,1,1,52.5475,13.40002,4,1.0,2.0,2,267,1,2022,1,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,77.0
337,0,0,52.34579,13.64364,4,1.0,1.0,2,2,0,2022,1,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,99.0
343,0,0,52.52333,13.39676,2,2.0,2.0,1,3,0,2022,1,13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,50.0
345,0,1,52.54436,13.41582,2,1.0,1.0,1,171,0,2022,1,37,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34.0
348,1,1,52.52848,13.41909,2,1.0,1.0,2,507,0,2022,1,17,0,0,0,1,0,0,0,1,0,1,0,0,0,0,35.0
349,0,1,52.52358,13.34047,3,1.0,2.0,1,9,0,2022,1,19,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60.0
356,0,1,52.50218,13.37687,2,1.0,1.0,2,549,1,2022,1,7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,22.0
371,0,1,52.51206,13.41754,2,1.0,1.0,1,371,0,2022,1,25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,75.0
373,0,1,52.50292,13.45342,2,1.0,1.0,2,7,0,2022,1,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35.0
374,0,1,52.57196,13.35589,2,1.0,1.0,2,19,0,2022,1,29,0,0,0,1,0,0,0,1,0,0,1,0,0,0,44.0
375,0,1,52.46954,13.43241,2,1.0,1.0,2,8,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,45.0
377,1,1,52.554,13.41204,2,1.0,1.0,2,18,1,2022,1,30,0,0,0,1,0,0,0,1,0,0,1,0,0,0,62.0
380,1,1,52.52819,13.39641,3,1.0,2.0,2,101,0,2022,1,33,1,0,0,0,0,1,0,0,1,0,0,0,0,0,77.0
383,1,1,52.53103,13.41687,2,1.0,1.0,1,617,0,2022,1,25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,33.0
387,0,0,52.49242,13.42037,2,1.0,1.0,2,166,0,2022,1,13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,35.0
391,1,1,52.4996,13.41695,5,2.0,3.0,2,25,0,2022,1,41,1,0,0,0,0,1,0,0,1,0,0,0,0,0,61.0
392,1,1,52.49764,13.4157,2,1.0,1.0,1,46,1,2022,1,44,0,0,0,1,0,0,0,1,0,0,1,0,0,0,41.0
393,0,1,52.48955,13.32265,1,1.0,1.0,1,128,0,2022,1,31,0,0,0,1,0,0,0,1,1,0,0,0,0,0,55.0
396,0,1,52.59767,13.37674,2,1.0,1.0,1,0,0,2022,1,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,45.0
408,0,1,52.5618,13.49399,2,1.0,1.0,2,52,1,2022,1,47,0,0,1,0,0,0,0,1,0,1,0,0,0,0,35.0
411,0,1,52.51279,13.44946,2,1.0,1.0,1,78,0,2022,1,22,0,0,1,0,0,1,0,0,1,0,0,0,0,0,194.0
423,0,1,52.4874,13.42649,2,1.0,1.0,1,9,0,2022,1,7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,69.0
426,0,0,52.51511,13.54927,1,1.0,1.0,2,3,0,2022,1,19,0,0,1,0,0,0,0,1,0,1,0,0,0,0,30.0
436,0,1,52.49932,13.42063,2,1.0,1.0,2,37,0,2022,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,121.0
437,0,1,52.49068,13.40485,5,2.0,3.0,2,277,1,2022,1,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,93.0
445,0,1,52.49063,13.4296,2,1.0,1.0,1,3,0,2022,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,50.0
464,0,1,52.49091,13.39904,2,1.0,1.0,1,2,0,2022,1,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,30.0
466,0,1,52.5472,13.41028,2,1.0,1.0,2,67,0,2022,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,51.0
469,0,1,52.49167,13.41355,4,1.0,2.0,2,458,0,2022,1,28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,48.0
473,0,0,52.53694,13.40349,2,1.0,1.0,1,28,0,2022,1,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,100.0
476,0,1,52.54498,13.4156,6,2.0,3.0,2,126,1,2022,1,16,1,0,0,0,0,1,0,0,1,0,0,0,0,0,95.0
477,0,1,52.53342,13.39486,2,1.0,1.0,2,2,0,2022,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,55.0
484,0,0,52.48799,13.42293,4,2.0,2.0,1,11,0,2022,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,72.0
497,0,1,52.56078,13.49243,3,1.0,2.0,2,57,1,2022,1,42,0,0,1,0,0,0,0,1,0,0,0,0,0,1,32.0
498,0,1,52.52601,13.40875,2,1.0,1.0,2,144,1,2022,1,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,57.0
499,0,0,52.58814,13.39598,1,1.0,1.0,2,8,0,2022,1,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,39.0
502,1,1,52.50113,13.43176,3,1.0,1.0,2,357,1,2022,1,27,1,0,0,0,0,1,0,0,1,0,0,0,0,0,80.0
506,0,1,52.49606,13.34942,2,1.0,1.0,2,6,0,2022,1,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
507,0,1,52.53384,13.43336,2,1.0,1.0,1,98,0,2022,1,41,0,0,0,1,0,0,0,1,0,0,1,0,0,0,74.0
517,0,0,52.54757,13.4145,1,1.0,1.0,1,16,0,2022,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,45.0
522,1,1,52.52656,13.40708,5,1.0,3.0,2,85,0,2022,1,28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,130.0
527,0,1,52.48978,13.42029,2,1.0,1.0,2,34,0,2022,1,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60.0
530,0,1,52.49787,13.42781,2,1.0,2.0,2,2,0,2022,1,30,1,0,0,0,0,1,0,0,1,0,0,0,0,0,91.0
533,1,1,52.54013,13.35249,4,2.0,2.0,1,555,1,2022,1,41,1,0,0,0,0,1,0,0,1,0,0,0,0,0,78.0
