,host_is_superhost,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,instant_bookable,ano,semestre,n_amenities,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Outros,property_type_Private room in rental unit,property_type_Room in hotel,room_type_Entire home/apt,room_type_Outros,room_type_Private room,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_Outros,price
5193,0,1,52.54048,13.40667,2,1.0,1.0,2,7,1,2022,1,42,0,0,1,0,0,1,0,0,1,0,0,0,0,0,79.0
5195,0,1,52.55527,13.45219,3,1.0,2.0,1,8,1,2022,1,47,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40.0
5197,0,1,52.55334,13.40051,4,1.0,2.0,2,47,0,2022,1,14,1,0,0,0,0,1,0,0,1,0,0,0,0,0,82.0
5198,1,1,52.51938,13.31999,2,1.0,1.0,2,334,1,2022,1,41,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34.0
5199,0,1,52.52092,13.45683,2,1.0,2.0,1,63,0,2022,1,17,0,0,0,1,0,0,0,1,0,0,1,0,0,0,46.0
5202,0,1,52.52413,13.42893,4,1.0,1.0,1,0,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,120.0
5204,0,0,52.55972,13.38982,2,1.0,1.0,2,5,1,2022,1,15,0,0,0,1,0,0,0,1,0,0,1,0,0,0,25.0
5207,0,1,52.54176,13.4167,4,1.0,1.0,1,28,1,2022,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,111.0
5209,0,1,52.52096,13.45753,2,1.0,1.0,2,20,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.0
5210,1,1,52.52335,13.42549,2,1.0,1.0,2,149,0,2022,1,22,0,0,0,1,0,0,0,1,0,0,1,0,0,0,33.0
5214,0,1,52.48529,13.42315,1,1.0,1.0,2,17,1,2022,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,30.0
5216,1,1,52.53662,13.35867,2,1.0,1.0,1,74,0,2022,1,24,0,0,0,1,0,0,0,1,0,0,1,0,0,0,38.0
5221,0,1,52.48667,13.44862,2,1.0,1.0,1,2,1,2022,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,24.0
5222,0,1,52.51091,13.47095,2,1.0,1.0,1,9,0,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,28.0
5223,0,1,52.48711,13.32706,3,1.0,2.0,2,2,0,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,25.0
5228,0,1,52.54035,13.42777,2,1.0,1.0,1,48,0,2022,1,16,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
5229,0,0,52.4888,13.44823,1,1.0,1.0,1,0,0,2022,1,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,40.0
5233,0,0,52.52205,13.44691,1,1.0,1.0,2,1,0,2022,1,20,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40.0
5238,0,1,52.51892,13.41146,2,1.0,1.0,2,80,0,2022,1,19,0,0,0,1,0,0,0,1,0,0,1,0,0,0,75.0
5239,0,1,52.5345,13.39583,2,1.0,1.0,2,28,0,2022,1,19,0,0,1,0,0,0,0,1,0,0,1,0,0,0,39.0
5242,0,1,52.4729,13.42119,4,2.0,2.0,2,2,0,2022,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
5245,0,1,52.49108,13.33275,2,1.0,1.0,1,0,0,2022,1,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,38.0
5248,1,1,52.5241,13.3953,1,1.0,1.0,2,23,1,2022,1,16,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34.0
5249,0,1,52.51266,13.42534,2,1.0,1.0,1,101,1,2022,1,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,82.0
5250,0,0,52.49415,13.39322,2,1.0,1.0,2,4,1,2022,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,61.0
5255,0,0,52.47268,13.42677,3,1.0,2.0,2,21,1,2022,1,22,1,0,0,0,0,1,0,0,1,0,0,0,0,0,79.0
5257,0,1,52.48368,13.38101,2,1.0,1.0,1,0,0,2022,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,70.0
5258,0,0,52.52867,13.40047,2,1.0,1.0,1,17,0,2022,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,65.0
5266,0,0,52.49245,13.42125,1,1.0,1.0,1,43,0,2022,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,28.0
5270,0,1,52.46816,13.43146,2,1.0,1.0,1,5,0,2022,1,29,0,0,0,1,0,0,0,1,0,0,1,0,0,0,25.0
5275,1,1,52.51111,13.4692,2,1.0,2.0,2,46,1,2022,1,30,0,0,0,1,0,0,0,1,0,1,0,0,0,0,52.0
5277,0,1,52.52927,13.31748,2,1.0,1.0,2,4,0,2022,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,39.0
5280,1,1,52.48236,13.42848,3,1.0,1.0,2,127,0,2022,1,31,0,0,0,1,0,0,0,1,0,0,1,0,0,0,32.0
5283,0,1,52.51055,13.39536,3,1.0,2.0,1,5,0,2022,1,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,25.0
5286,1,1,52.46682,13.44004,4,2.0,3.0,2,176,1,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
5287,0,1,52.48944,13.34661,2,1.0,1.0,1,0,0,2022,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,90.0
5289,1,1,52.55702,13.43318,2,1.0,1.0,2,84,0,2022,1,20,0,0,0,1,0,0,0,1,0,0,1,0,0,0,32.0
5295,1,1,52.47777,13.446,2,1.0,1.0,1,85,1,2022,1,23,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
5296,0,0,52.49949,13.38447,3,2.0,1.0,1,0,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,45.0
5297,0,1,52.47146,13.44023,2,1.0,1.0,2,13,0,2022,1,16,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40.0
5299,0,1,52.5276,13.40986,2,1.0,1.0,2,8,0,2022,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0
5303,0,0,52.53314,13.32614,2,1.0,1.0,1,0,0,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,29.0
5305,0,1,52.52765,13.30062,2,1.0,1.0,1,25,0,2022,1,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40.0
5307,1,1,52.48793,13.3822,5,1.0,1.0,2,145,1,2022,1,32,1,0,0,0,0,1,0,0,1,0,0,0,0,0,130.0
5320,0,1,52.51688,13.45801,2,1.0,1.0,1,0,1,2022,1,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,38.0
5322,0,1,52.47411,13.42585,2,1.0,1.0,1,3,0,2022,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35.0
5324,0,0,52.49274,13.38294,2,1.0,1.0,1,1,0,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,41.0
5325,0,1,52.56583,13.39931,1,1.0,1.0,2,21,0,2022,1,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,37.0
5326,0,1,52.49597,13.36111,1,1.0,1.0,2,24,0,2022,1,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,25.0
5329,1,1,52.49041,13.37889,2,1.0,1.0,2,289,0,2022,1,16,0,0,0,1,0,0,0,1,0,1,0,0,0,0,48.0
5330,0,1,52.51202,13.40844,2,1.0,1.0,1,14,0,2022,1,13,0,0,0,1,0,0,0,1,1,0,0,0,0,0,30.0
5336,0,1,52.48243,13.34816,2,1.0,1.0,2,0,1,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,50.0
5343,0,1,52.50207,13.41772,2,1.0,1.0,2,230,1,2022,1,10,0,0,0,1,0,0,0,1,0,1,0,0,0,0,50.0
5346,1,1,52.53014,13.39445,2,1.0,1.0,2,387,0,2022,1,18,0,0,0,1,0,0,0,1,0,0,1,0,0,0,48.0
5347,0,1,52.46379,13.31751,4,2.0,2.0,2,94,1,2022,1,26,1,0,0,0,0,1,0,0,1,0,0,0,0,0,80.0
5353,0,1,52.5299,13.40643,4,1.0,2.0,2,52,0,2022,1,22,1,0,0,0,0,1,0,0,1,0,0,0,0,0,92.0
5356,0,1,52.55389,13.38232,3,1.0,2.0,2,4,1,2022,1,18,0,0,1,0,0,1,0,0,1,0,0,0,0,0,62.0
5358,0,0,52.52503,13.45291,4,2.0,2.0,2,0,0,2022,1,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,61.0
5363,0,1,52.47724,13.42737,3,2.0,2.0,1,2,0,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.0
5368,0,1,52.56036,13.37028,4,1.0,2.0,2,70,1,2022,1,27,0,0,0,1,0,0,0,1,0,0,1,0,0,0,46.0
5373,0,1,52.48278,13.42633,2,1.0,1.0,2,18,1,2022,1,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,82.0
5374,0,1,52.53403,13.3493,2,1.0,1.0,2,2,0,2022,1,8,0,0,0,1,0,0,0,1,0,0,0,0,0,1,30.0
5376,0,1,52.52197,13.44808,4,1.0,2.0,1,381,1,2022,1,35,1,0,0,0,0,1,0,0,1,0,0,0,0,0,58.0
5382,0,1,52.47318,13.44941,2,1.0,2.0,2,21,1,2022,1,38,0,0,0,1,0,0,0,1,0,0,1,0,0,0,50.0
5384,0,1,52.53842,13.40564,1,1.0,1.0,1,60,0,2022,1,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,26.0
5388,0,1,52.53255,13.4315,2,1.0,1.0,2,1,0,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,124.0
5389,0,1,52.47621,13.43821,4,1.0,2.0,2,7,1,2022,1,44,0,0,0,1,0,0,0,1,0,0,1,0,0,0,80.0
5401,0,1,52.5079,13.45806,2,1.0,2.0,2,2,0,2022,1,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
5402,1,1,52.49788,13.42398,4,1.0,1.0,1,388,0,2022,1,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,111.0
5409,0,1,52.53751,13.42317,6,2.0,3.0,2,102,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,120.0
5410,0,1,52.53991,13.41375,4,1.0,2.0,1,2,0,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,80.0
5413,0,1,52.53768,13.42229,3,1.0,2.0,1,93,0,2022,1,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,70.0
5417,1,1,52.47623,13.37801,2,1.0,1.0,1,399,1,2022,1,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,46.0
5431,0,0,52.54926,13.35589,3,1.0,1.0,1,0,1,2022,1,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,40.0
5432,0,1,52.48763,13.37248,2,1.0,1.0,2,2,0,2022,1,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,63.0
5433,0,1,52.5492,13.45162,3,2.0,1.0,2,10,1,2022,1,25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,79.0
5435,0,1,52.56003,13.37129,3,1.0,1.0,2,5,0,2022,1,26,0,0,0,1,0,0,0,1,0,0,0,0,0,1,36.0
5441,0,1,52.55299,13.40191,2,1.0,1.0,2,1,0,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,25.0
5447,0,1,52.51133,13.46156,2,1.0,1.0,1,1,0,2022,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,25.0
5449,0,1,52.5068,13.48113,4,1.0,2.0,1,2,1,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,34.0
5452,0,1,52.51715,13.45682,2,1.0,1.0,2,4,0,2022,1,25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,60.0
5454,0,0,52.53679,13.442,2,1.0,1.0,2,2,0,2022,1,11,0,0,0,1,0,0,0,1,0,0,0,0,0,1,30.0
5456,0,0,52.48248,13.44006,2,1.0,1.0,2,1,0,2022,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.0
5458,0,1,52.55189,13.41484,3,1.0,1.0,2,11,1,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.0
5463,0,1,52.50245,13.43701,2,1.0,1.0,2,30,1,2022,1,18,0,0,0,1,0,0,0,1,0,0,1,0,0,0,38.0
5466,0,0,52.50291,13.43339,2,1.0,1.0,2,0,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0
5468,0,0,52.48749,13.4292,2,1.0,2.0,1,7,1,2022,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
5471,0,1,52.54351,13.42199,2,1.0,1.0,2,57,0,2022,1,42,1,0,0,0,0,1,0,0,1,0,0,0,0,0,41.0
5474,0,1,52.53754,13.396,2,1.0,1.0,2,7,0,2022,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,23.0
5475,0,1,52.47942,13.35014,3,1.0,2.0,2,30,0,2022,1,18,0,0,1,0,0,1,0,0,1,0,0,0,0,0,45.0
5480,1,1,52.50656,13.25991,2,1.0,1.0,2,132,0,2022,1,28,0,0,1,0,0,0,0,1,0,0,0,0,1,0,25.0
5482,1,1,52.5044,13.45052,2,1.0,1.0,2,22,0,2022,1,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,90.0
5483,0,0,52.49449,13.41589,2,1.0,1.0,2,10,1,2022,1,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60.0
5488,0,1,52.45304,13.45387,1,1.0,1.0,2,5,0,2022,1,27,0,0,0,1,0,0,0,1,0,0,1,0,0,0,36.0
5490,1,1,52.46884,13.43992,4,2.0,3.0,2,177,1,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
5491,0,0,52.491,13.45167,2,1.0,1.0,1,98,0,2022,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35.0
5494,0,0,52.54039,13.42608,2,1.0,1.0,2,7,0,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,81.0
5499,0,0,52.53911,13.42058,4,2.0,2.0,2,19,0,2022,1,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,79.0
5500,0,1,52.52481,13.51275,3,1.0,2.0,2,0,1,2022,1,21,0,0,0,1,0,0,0,1,0,1,0,0,0,0,35.0
5502,0,1,52.48117,13.34998,2,1.0,1.0,1,12,0,2022,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,47.0
5503,0,1,52.49211,13.42069,2,1.0,2.0,2,1,1,2022,1,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
5505,0,0,52.51264,13.49682,2,1.0,1.0,2,194,1,2022,1,22,0,0,0,1,0,0,0,1,0,0,0,0,1,0,29.0
5512,0,1,52.50821,13.49399,2,1.0,1.0,1,1,0,2022,1,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,23.0
5514,0,1,52.46245,13.52106,6,2.0,3.0,1,6,0,2022,1,14,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
5515,0,1,52.47782,13.43813,1,1.0,1.0,1,1,0,2022,1,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,45.0
5518,0,0,52.5552,13.42017,2,1.0,1.0,2,34,0,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,30.0
5520,0,1,52.53672,13.41013,1,1.0,1.0,2,32,0,2022,1,14,0,0,0,1,0,0,0,1,0,1,0,0,0,0,50.0
5521,0,1,52.48925,13.39573,3,1.0,3.0,2,1,1,2022,1,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,75.0
5523,1,1,52.53979,13.40963,2,1.0,1.0,2,57,0,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,99.0
5525,0,0,52.54306,13.438,2,1.0,2.0,1,1,0,2022,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,35.0
5532,1,1,52.52438,13.35316,2,1.0,1.0,1,307,1,2022,1,50,0,0,1,0,0,0,0,1,0,0,0,0,0,1,87.0
5534,0,1,52.50153,13.4168,4,1.0,3.0,2,127,1,2022,1,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,98.0
5537,0,0,52.51565,13.42249,2,1.0,1.0,1,0,1,2022,1,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.0
5539,1,1,52.46872,13.58635,2,1.0,2.0,1,123,0,2022,1,32,0,0,1,0,0,0,0,1,0,0,1,0,0,0,29.0
5541,0,1,52.52655,13.2982,4,2.0,2.0,2,116,0,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,80.0
5543,0,1,52.49795,13.35588,2,1.0,1.0,2,4,0,2022,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,40.0
5546,0,1,52.5152,13.46119,7,3.0,3.0,1,274,0,2022,1,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,124.0
5547,0,0,52.55123,13.41193,2,1.0,1.0,1,13,0,2022,1,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
5548,0,1,52.54919,13.42542,2,1.0,1.0,2,11,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,52.0
5552,0,0,52.52598,13.4525,2,1.0,1.0,2,4,0,2022,1,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,36.0
5553,0,1,52.54092,13.39622,4,2.0,2.0,2,1,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
5555,0,1,52.50019,13.44191,2,1.0,1.0,1,0,0,2022,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,42.0
5556,0,0,52.51045,13.4702,1,1.0,1.0,1,0,1,2022,1,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,55.0
5559,0,1,52.53431,13.34934,2,1.0,1.0,2,80,0,2022,1,17,0,0,0,1,0,0,0,1,0,0,0,0,0,1,65.0
5560,0,0,52.51096,13.45758,2,1.0,1.0,2,0,1,2022,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,55.0
5563,0,1,52.511,13.50412,3,1.0,1.0,2,22,0,2022,1,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,35.0
5566,0,1,52.55352,13.44872,2,1.0,1.0,1,7,0,2022,1,16,0,0,0,1,0,0,0,1,0,0,1,0,0,0,25.0
5569,0,1,52.48269,13.43838,2,1.0,1.0,2,24,0,2022,1,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,80.0
5570,0,1,52.50179,13.41697,4,1.0,3.0,2,113,1,2022,1,23,1,0,0,0,0,1,0,0,1,0,0,0,0,0,94.0
5571,0,1,52.51547,13.46517,5,3.0,3.0,2,11,0,2022,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,165.0
5573,0,1,52.54537,13.39235,2,1.0,1.0,1,1,0,2022,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,46.0
5581,0,0,52.48927,13.38104,1,1.0,1.0,2,193,1,2022,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,23.0
5582,0,1,52.49375,13.34572,2,1.0,1.0,1,0,0,2022,1,9,0,0,0,1,0,0,0,1,0,1,0,0,0,0,35.0
5587,0,1,52.48391,13.43285,4,1.0,2.0,2,20,1,2022,1,34,1,0,0,0,0,1,0,0,1,0,0,0,0,0,75.0
5589,0,1,52.51443,13.45567,2,1.0,1.0,2,17,0,2022,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,48.0
5590,0,0,52.50256,13.45133,4,2.0,2.0,2,5,0,2022,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0
5604,1,1,52.50258,13.39151,2,1.0,2.0,1,117,0,2022,1,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0,138.0
5605,0,1,52.50137,13.41688,4,1.0,3.0,2,149,1,2022,1,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,98.0
5606,1,1,52.51692,13.30119,3,1.0,1.0,2,13,0,2022,1,26,1,0,0,0,0,1,0,0,1,0,0,0,0,0,70.0
5610,0,0,52.50421,13.41964,2,1.0,1.0,2,1,0,2022,1,14,0,0,0,1,0,0,0,1,0,1,0,0,0,0,50.0
5615,0,1,52.48442,13.45003,1,1.0,1.0,1,8,1,2022,1,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35.0
5617,1,1,52.58741,13.39189,5,2.0,1.0,1,139,1,2022,1,48,1,0,0,0,0,1,0,0,1,0,0,0,0,0,71.0
5622,0,1,52.55391,13.40842,4,1.0,2.0,2,5,0,2022,1,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,50.0
5627,0,1,52.52076,13.38071,2,1.0,1.0,1,53,0,2022,1,14,0,0,1,0,0,0,0,1,0,0,1,0,0,0,59.0
5634,0,0,52.49121,13.18206,4,2.0,3.0,1,223,1,2022,1,27,0,0,1,0,0,1,0,0,1,0,0,0,0,0,74.0
5637,0,1,52.50147,13.41668,4,1.0,3.0,2,148,1,2022,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,98.0
5644,0,1,52.5304,13.39475,1,1.0,1.0,1,0,0,2022,1,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,42.0
5660,0,1,52.5319,13.43325,3,1.0,1.0,2,22,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,55.0
5665,0,1,52.4825,13.43758,2,1.0,1.0,1,20,0,2022,1,14,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
5668,0,1,52.4611,13.41913,2,1.0,1.0,2,9,0,2022,1,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,50.0
5670,0,1,52.53538,13.39782,2,1.0,1.0,2,188,0,2022,1,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,62.0
5672,0,1,52.4482,13.31686,4,2.0,2.0,2,3,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,39.0
5676,0,1,52.47705,13.42435,2,1.0,2.0,1,2,1,2022,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40.0
5685,0,1,52.53114,13.3347,4,1.0,2.0,2,1,0,2022,1,47,1,0,0,0,0,1,0,0,1,0,0,0,0,0,95.0
5686,1,1,52.52247,13.43648,5,1.0,2.0,2,2,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,55.0
5687,0,1,52.50853,13.46623,2,1.0,1.0,2,1,0,2022,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,25.0
5690,0,1,52.47794,13.43215,2,1.0,1.0,2,4,1,2022,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,22.0
5696,0,1,52.47619,13.42562,4,2.0,2.0,2,8,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,129.0
5700,0,1,52.50583,13.46832,4,1.0,2.0,2,2,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,45.0
5704,0,0,52.50657,13.3232,1,1.0,1.0,1,25,1,2022,1,15,0,0,0,1,0,0,0,1,0,0,1,0,0,0,31.0
5709,0,1,52.48628,13.40718,2,1.0,1.0,2,1,1,2022,1,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,26.0
5710,0,1,52.52078,13.3363,2,1.0,1.0,2,63,0,2022,1,24,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
5717,0,1,52.48677,13.37549,2,1.0,1.0,1,0,0,2022,1,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
5719,0,0,52.5523,13.39983,4,2.0,2.0,1,0,1,2022,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,80.0
5723,0,1,52.51786,13.29357,2,1.0,1.0,1,321,1,2022,1,23,0,0,0,1,0,0,0,1,0,0,0,0,0,1,39.0
5725,0,1,52.51022,13.42405,4,1.0,2.0,2,63,1,2022,1,35,1,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0
5729,0,1,52.52553,13.40728,4,1.0,2.0,2,74,1,2022,1,34,1,0,0,0,0,1,0,0,1,0,0,0,0,0,117.0
5734,0,0,52.54875,13.36402,2,1.0,1.0,2,4,0,2022,1,22,0,0,0,1,0,0,0,1,0,0,1,0,0,0,28.0
5735,1,1,52.50001,13.41432,2,1.0,1.0,1,55,0,2022,1,34,0,0,1,0,0,0,0,1,0,0,1,0,0,0,35.0
5738,0,1,52.51354,13.50046,3,1.0,2.0,2,11,0,2022,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,33.0
5739,0,1,52.49264,13.39806,3,1.0,2.0,1,4,0,2022,1,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,35.0
5745,0,1,52.49645,13.41658,2,1.0,1.0,2,21,0,2022,1,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,35.0
5746,0,0,52.49864,13.35058,2,1.0,1.0,1,0,1,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,60.0
5748,0,1,52.47419,13.44354,2,1.0,1.0,2,50,0,2022,1,13,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35.0
5749,0,1,52.52809,13.34755,4,2.0,2.0,2,15,0,2022,1,28,0,0,0,1,0,0,0,1,0,1,0,0,0,0,73.0
5753,1,1,52.49362,13.41258,4,2.0,2.0,2,40,0,2022,1,43,1,0,0,0,0,1,0,0,1,0,0,0,0,0,99.0
5757,0,1,52.55436,13.47511,3,1.0,2.0,2,14,1,2022,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,73.0
5763,0,0,52.49704,13.35047,2,1.0,2.0,1,0,0,2022,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,30.0
5764,0,0,52.49705,13.31424,6,2.0,2.0,1,7,0,2022,1,14,1,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0
5765,0,1,52.53847,13.42373,2,1.0,1.0,2,11,0,2022,1,16,0,0,0,1,0,0,0,1,0,0,1,0,0,0,48.0
5772,0,1,52.46941,13.43308,1,2.0,1.0,1,13,1,2022,1,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,56.0
5773,0,1,52.55089,13.4271,2,1.0,1.0,2,20,0,2022,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,46.0
5774,0,1,52.54883,13.40989,2,1.0,1.0,2,5,0,2022,1,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,25.0
5775,0,1,52.44222,13.24521,2,1.0,1.0,2,77,0,2022,1,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,50.0
5776,0,1,52.48479,13.36051,2,1.0,1.0,2,31,0,2022,1,23,1,0,0,0,0,1,0,0,1,0,0,0,0,0,25.0
5778,0,1,52.47872,13.44734,2,1.0,1.0,1,1,0,2022,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,25.0
5782,0,1,52.5495,13.37268,1,1.0,2.0,2,34,0,2022,1,30,0,0,0,1,0,0,0,1,0,0,1,0,0,0,29.0
5784,0,1,52.53371,13.40152,2,1.0,1.0,2,42,0,2022,1,19,0,0,0,1,0,0,0,1,0,1,0,0,0,0,42.0
5787,0,0,52.48158,13.43962,2,1.0,1.0,2,1,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.0
5791,0,1,52.48942,13.3949,2,1.0,1.0,1,3,1,2022,1,15,0,0,0,1,0,0,0,1,0,1,0,0,0,0,35.0
5793,0,0,52.511,13.51803,1,1.0,1.0,1,0,0,2022,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,226.0
